id;name;supplier_reference;bank_account_name;bank_account_branch;bank_account_code;bank_account_number;bank_international_code;payment_days;internal_comments;phone_number;fax_number;website_url;web_service_url;credit_rating;active_flag;thumbnail_url;valid_from;valid_to
1;alarm neural seamless;Avon invoice Malta;synthesizing Manors;Sleek Wooden Fish markets;Generic Concrete Tuna Shoes HDD;utilisation;out-of-the-box Pizza;78969;deposit Avon;Clothing deposit;Designer;Borders Intelligent whiteboard;Practical Steel Mouse;25768;true;Pizza Assurance;2019-12-12T17:32:03;2019-12-12T09:41:27
2;e-commerce bricks-and-clicks drive;Avon Syrian Arab Republic Borders;web-readiness interface;Auto Loan Account Personal Loan Account;systems zero tolerance Iowa;sticky benchmark Point;program Soft interface;90903;Tuna Implemented;Bedfordshire applications Sleek Cotton Bike;AI;Home Loan Account Louisiana;Checking Account Tuna;39108;false;incentivize SMTP Garden;2019-12-12T13:23:38;2019-12-12T08:57:09
3;Cotton Manager;Enterprise-wide SDD;Gloves Jordan;Uganda Shilling Cotton;Persevering Personal Loan Account;De-engineered strategic integrate;array payment;47463;calculating online Utah;Hawaii Botswana Computers;Rustic Granite Bike Program Generic Wooden Bike;Sausages Incredible;Borders;4157;true;recontextualize;2019-12-12T15:59:54;2019-12-12T04:21:11
4;Books Paradigm invoice;Minnesota Open-architected Lebanon;Tugrik Wooden;Plastic;capacitor;feed;Officer;9390;Swiss Franc communities XSS;Quality-focused;parsing Identity;Health Polarised transmitting;Rhode Island Music Data;68952;true;Savings Account Branding navigating;2019-12-12T11:30:31;2019-12-12T11:53:11
5;Incredible deposit;Checking Account utilisation AI;USB primary Iowa;Refined withdrawal copy;Kuwaiti Dinar solid state program;help-desk SAS embrace;Nigeria;575;migration;Investment Account Ohio;deliver Pine;Haiti;Advanced Awesome Rubber Mouse;66821;true;connect Berkshire;2019-12-12T14:29:57;2019-12-12T06:47:45
6;Suriname Unions Jewelery;Fantastic Shirt;Illinois Kyrgyz Republic;unleash Slovenia;monitor Operations Sports;synergies;deposit Principal Profound;92703;Intelligent Frozen Shoes mission-critical;Shoes;Open-source multi-tasking;Data;Moldova archive;61033;true;morph Administrator bypassing;2019-12-12T14:58:35;2019-12-12T23:10:05
7;Dong;haptic;card;multi-byte;Universal;supply-chains Licensed connecting;Sleek Rubber Computer Solutions;60161;connecting HDD;digital;Savings Account action-items;Human navigate Idaho;virtual;27480;true;navigating New Leu primary;2019-12-12T09:06:58;2019-12-12T12:32:36
8;Landing;Mouse Re-engineered;RSS sky blue Intelligent;model;Savings Account;deposit Integrated;Checking Account Avon;98778;Rubber;Kenyan Shilling technologies Roads;Lek Director Fresh;Credit Card Account;Virginia reciprocal;7941;false;invoice;2019-12-12T13:13:04;2019-12-12T22:54:39
9;framework Future-proofed;Checking Account convergence;Handcrafted Soft Car Profit-focused Ethiopia;Credit Card Account Pataca Function-based;collaboration Aruban Guilder;reintermediate efficient Producer;Hill Awesome Rubber Computer;95762;Tuna El Salvador Colon US Dollar mint green;partnerships content;back up B2C invoice;Via enhance Cotton;Chair Producer Accounts;53995;false;Kyat Generic Cloned;2019-12-12T08:36:23;2019-12-12T09:23:22
10;Rubber connecting back-end;Small Wooden Gloves Expanded viral;Incredible Integration;Bedfordshire navigating;Village;XML Sausages;Borders Planner navigating;20851;Markets Granite;Investment Account CFA Franc BEAC Syrian Arab Republic;back-end digital secured line;Graphic Interface;Keyboard;69495;false;Metrics North Carolina;2019-12-12T05:07:50;2019-12-12T07:46:35
