id;deal_description;start_date;end_date;discount_amount;discount_percentage;discount_code;unit_price;last_edited_by;last_edited_when
1;Tenge feed;2019-12-12T12:52:33;2019-12-12T13:30:39;31290;52575;Persistent;201;Sausages Wooden Dale;2019-12-12T12:49:19
2;lime Accountability Electronics;2019-12-12T08:58:51;2019-12-12T13:24:51;62520;70113;Aruban Guilder e-commerce;1539;Washington Optimized;2019-12-12T16:42:36
3;Integration innovate generating;2019-12-12T22:59:28;2019-12-12T09:46:13;67246;21466;deposit Avon index;32704;Legacy;2019-12-13T01:29:34
4;redundant AGP navigating;2019-12-12T15:12:38;2019-12-12T10:09:12;43838;905;Idaho Home Loan Account payment;24202;microchip Handcrafted gold;2019-12-12T06:27:25
5;circuit;2019-12-13T03:11:10;2019-12-13T02:48:28;24837;35597;Computers;7714;Senior;2019-12-12T18:59:58
6;mindshare plum;2019-12-12T13:11:09;2019-12-12T11:22:02;59480;8114;Tactics programming;80509;indexing Response;2019-12-12T14:27:14
7;maroon Home Loan Account compress;2019-12-12T09:48:22;2019-12-12T03:48:45;52144;29149;navigate;42749;plum haptic global;2019-12-12T06:45:06
8;Human SMTP;2019-12-13T02:40:33;2019-12-12T08:37:08;78737;45434;invoice Proactive;70546;supply-chains relationships deposit;2019-12-12T05:02:44
9;Practical Fresh Hat regional e-markets;2019-12-13T02:59:24;2019-12-12T22:41:23;30104;59023;paradigms Meadows;2831;yellow real-time interface;2019-12-13T03:14:24
10;ROI Corporate;2019-12-13T00:49:51;2019-12-12T23:39:54;51642;7049;lavender payment SMS;81412;Cayman Islands Dollar Licensed 24 hour;2019-12-12T20:04:50
