id;name;handle;product_number;search_details;sell_count;thumbnail_list;active_ind;last_edited_by;last_edited_when
1;Som El Salvador Colon US Dollar Mouse;groupware Taiwan;deposit United States of America;../fake-data/blob/hipster.txt;11539;Investment Account Frozen magnetic;false;Malagasy Ariary yellow unleash;2019-12-12T06:01:12
2;ivory Cambridgeshire users;Auto Loan Account;Handcrafted Granite Shirt Vermont Savings Account;../fake-data/blob/hipster.txt;68863;Team-oriented Shoes feed;true;indexing transmitting overriding;2019-12-12T15:52:26
3;B2B;Kazakhstan Bedfordshire transmitting;XML Bridge;../fake-data/blob/hipster.txt;7569;expedite auxiliary;true;teal;2019-12-13T01:54:31
4;RSS;Towels parse;Awesome Metal Chips Practical syndicate;../fake-data/blob/hipster.txt;80381;communities Representative Arizona;false;blue bricks-and-clicks;2019-12-12T18:34:31
5;Handmade Cotton Pants Islands;Handcrafted Plastic Fish Solutions architect;invoice Berkshire Kids;../fake-data/blob/hipster.txt;80449;bypass;true;Awesome Soft Table;2019-12-12T13:30:25
6;haptic navigate;Denar hack Baby;Credit Card Account;../fake-data/blob/hipster.txt;74225;Tuna pink;true;hack Future;2019-12-12T09:18:25
7;Investment Account invoice;COM New Caledonia hack;Lakes;../fake-data/blob/hipster.txt;71639;fault-tolerant plum collaboration;false;fuchsia metrics;2019-12-12T05:43:41
8;Buckinghamshire salmon Awesome;Cotton networks Prairie;redundant intermediate Pataca;../fake-data/blob/hipster.txt;26406;Mobility deposit;false;solution-oriented turquoise;2019-12-12T10:50:41
9;olive;compressing Handcrafted Soft Bacon;online parse indigo;../fake-data/blob/hipster.txt;8838;Dobra intuitive eyeballs;false;demand-driven Grocery;2019-12-12T06:24:57
10;Stand-alone New York Refined Metal Cheese;e-business;XML;../fake-data/blob/hipster.txt;32529;District Technician bypassing;true;Sharable Oklahoma Tasty Wooden Bacon;2019-12-12T03:32:34
