id;stock_item_name;vendor_code;vendor_sku;barcode;barcode_type_id;barcode_type_name;product_type;product_category_id;product_category_name;product_attribute_set_id;product_attribute_id;product_attribute_value;product_option_set_id;product_option_id;product_option_value;model_name;model_number;material_id;material_name;short_description;description;product_brand_id;product_brand_name;highlights;search_details;care_instructions;dangerous_goods;video_url;unit_price;remommended_retail_price;currency_code;quantity_on_hand;warranty_period;warranty_policy;warranty_type_id;warranty_type_name;what_in_the_box;item_length;item_width;item_height;item_weight;item_package_length;item_package_width;item_package_height;item_package_weight;item_length_unit_measure_id;item_length_unit_measure_code;item_width_unit_measure_id;item_width_unit_measure_code;item_height_unit_measure_id;item_height_unit_measure_code;item_weight_unit_measure_id;item_weight_unit_measure_code;item_package_length_unit_measure_id;item_package_length_unit_measure_code;item_package_width_unit_measure_id;item_package_width_unit_measure_code;item_package_height_unit_measure_id;item_package_height_unit_measure_code;item_package_weight_unit_measure_id;item_package_weight_unit_measure_code;no_of_pieces;no_of_items;manufacture;special_feactures;product_compliance_certificate;genuine_and_legal;country_of_origin;usage_and_side_effects;safety_warnning;sell_start_date;sell_end_date;status;last_edited_by;last_edited_when
1;Pennsylvania knowledge base Functionality;methodologies open-source Industrial;communities intuitive Ergonomic Steel Chair;Kenya white Orchestrator;57443;Rubber;customized calculating bypassing;47735;impactful strategic auxiliary;32817;55731;Computer;83459;46669;Cambridgeshire generating;Shirt;multi-byte;82362;drive Gardens concept;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;93255;Metal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Handcrafted relationships Checking Account;Harbor communities Tuna;65640;61923;ZAR;33210;Assurance bypassing;communities;11635;Auto Loan Account Program;../fake-data/blob/hipster.txt;66177;69333;7680;64823;35466;23148;55066;68135;40320;backing up virtual Investment Account;37345;Versatile Practical out-of-the-box;41317;Pataca withdrawal;7010;empower;18177;Chair programming;4191;eyeballs;16820;SMS California;23138;Cambridgeshire;73148;26234;conglomeration programming Unbranded Granite Salad;../fake-data/blob/hipster.txt;withdrawal withdrawal;false;copy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-12T14:45:54;2019-12-13T02:28:58;67743;niches system programming;2019-12-13T00:00:06
2;backing up United States of America;Mandatory Fantastic reboot;Mandatory overriding;Luxembourg dynamic;90158;pink HTTP;solution-oriented Clothing;97835;Director enhance program;34580;85719;synthesizing experiences Cotton;38225;78329;heuristic Consultant;Orchestrator;withdrawal;68804;Plastic Implementation;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;18118;Personal Loan Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;e-tailers;Turkmenistan users;16022;13050;CNY;56541;deliverables solid state;Handcrafted harness Licensed;1659;deposit;../fake-data/blob/hipster.txt;60244;33562;16301;7680;23381;23499;2370;83015;83494;Specialist Concrete Extended;86840;Program;41962;Intelligent Steel Table Alabama exploit;2865;West Virginia Jewelery virtual;30643;Handcrafted Rubber Pants;39768;Supervisor Bahamas;27523;hard drive optimizing;90424;syndicate;54986;19444;Practical;../fake-data/blob/hipster.txt;hacking digital;false;Exclusive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-12T07:54:03;2019-12-13T01:24:50;93039;Intelligent;2019-12-12T16:42:53
3;extensible;asymmetric composite pricing structure;Refined Granite Cheese mindshare;Berkshire Tugrik;55276;salmon;virtual;76016;Towels Fish even-keeled;36107;40771;Metal Car;82735;3467;harness Turkish Lira;Profit-focused;encompassing FTP Product;29728;Cross-group;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;41130;Synergized Tunisian Dinar;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Metal South Africa Fantastic;Tuna;73795;53515;INR;8202;Computers Executive Industrial;Hat Executive;97727;cross-platform;../fake-data/blob/hipster.txt;65942;76167;57780;50708;86610;63790;28943;98517;46768;Investment Account content e-commerce;33028;Montana quantifying;20152;Group;68908;hacking;55619;multi-byte;1620;compressing Sleek Fresh Shoes;99196;multimedia;21031;transmit Phased XML;10284;6100;zero administration;../fake-data/blob/hipster.txt;Codes specifically reserved for testing purposes;true;capability;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-12T11:16:50;2019-12-12T06:09:59;59424;Auto Loan Account UAE Dirham Alabama;2019-12-12T17:13:07
4;bifurcated back up;Rest;Function-based Credit Card Account calculate;Balanced;65042;plum;calculating;4499;matrix;34131;18345;Personal Loan Account e-services;12638;46533;Kids;open-source;Health invoice bandwidth;54814;Shoes modular invoice;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;96530;Licensed Fresh Soap Florida;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Beauty robust;Refined Savings Account;34095;80020;XCD;86300;Keyboard calculating;object-oriented Saudi Arabia Zimbabwe Dollar;90026;virtual US Dollar;../fake-data/blob/hipster.txt;67963;61448;94592;58119;29582;25363;111;75633;27195;azure;66183;deposit;59346;Books feed;32353;invoice Connecticut innovative;13457;Unbranded indexing Central;64978;Unbranded;40202;port virtual;11821;Books card efficient;25448;14821;Awesome;../fake-data/blob/hipster.txt;programming Creative Vermont;true;Licensed Holy See (Vatican City State);../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-12T18:23:48;2019-12-12T11:31:33;60713;architect Innovative Sleek;2019-12-12T19:57:29
5;Ergonomic;parsing;niches Belize HTTP;Customer Station flexibility;47646;Graphic Interface;Dong Norwegian Krone;31523;Cotton payment Metal;57849;11956;Oklahoma Reverse-engineered optical;42593;49995;bandwidth Auto Loan Account olive;copy;supply-chains;61710;overriding white Rubber;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;96347;Gorgeous Greens;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;interactive bypass;Refined Wooden Chips Mississippi;54434;6669;EGP;4809;secondary Program;Bedfordshire Yen;25231;moderator Savings Account;../fake-data/blob/hipster.txt;89793;97703;80992;54477;58313;13568;73022;89363;36482;invoice;46618;magenta Baht Kentucky;35862;Global Shoes system engine;5688;transmit Quetzal toolset;67566;cultivate synthesize;45418;portals;93472;Secured Plastic;58454;Director engineer;6203;46672;Sleek Keyboard;../fake-data/blob/hipster.txt;withdrawal;true;Courts;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-12T19:00:10;2019-12-12T04:55:52;40070;Cotton JBOD synergies;2019-12-12T18:13:18
6;payment vortals;streamline Stravenue;Mobility deposit;purple Shoes methodical;52525;Cotton FTP;Wooden;39174;Chair pixel magenta;5856;21491;Generic Cotton Pizza Awesome;11647;34548;virtual;Belarus Mexican Peso Mexican Unidad de Inversion (UDI);Corporate leverage;29632;Rubber Pizza portals;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;59567;Sleek Paradigm;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Passage Buckinghamshire blue;Square;63009;91578;UGX;35979;definition lavender Pula;JBOD;97094;Shirt;../fake-data/blob/hipster.txt;72206;60333;4028;80168;40542;46951;51628;42265;58064;Solutions Bond Markets Units European Composite Unit (EURCO) Curve;80967;Communications Garden Facilitator;8613;open-source;28033;Plastic e-markets;64395;transform;5456;Savings Account;90240;unleash azure;44257;Intelligent Fresh Table overriding Indiana;35310;50354;Awesome Concrete Bacon Web Spurs;../fake-data/blob/hipster.txt;Checking Account communities;true;Central African Republic Investment Account red;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-12T12:30:02;2019-12-12T16:02:10;57160;Bacon;2019-12-13T02:05:09
7;Auto Loan Account copy Sri Lanka;Norway;Generic synergies;Concrete;74229;Innovative;Fantastic Cotton Pizza Cambridgeshire;48329;morph overriding Granite;50569;733;Movies;55329;57386;Wyoming CSS;User-friendly Steel;Licensed Licensed Concrete Salad Madagascar;64557;Incredible Frozen Soap indexing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;29661;Unbranded Chips;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;back-end;Palestinian Territory De-engineered proactive;98950;69072;RWF;72878;Rustic Frozen Shirt Awesome analyzing;Games Azerbaijanian Manat withdrawal;41078;Berkshire systems Toys;../fake-data/blob/hipster.txt;33537;2221;17708;98853;9842;4142;95672;96780;59935;matrix array;39314;De-engineered Small;17903;digital Cordoba Oro;54692;Highway;92243;Practical Plastic Tuna world-class optical;99251;Public-key;87430;calculating Multi-tiered benchmark;40967;Orchestrator Chair digital;33419;81046;full-range hard drive revolutionize;../fake-data/blob/hipster.txt;primary CSS;false;Gold Metal vortals;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-12T14:21:00;2019-12-12T11:17:53;40273;Mayotte Associate;2019-12-13T00:16:15
8;Lilangeni recontextualize;Games;Intranet ADP Direct;eyeballs viral moratorium;73087;Riel Louisiana;Money Market Account Illinois Tuna;47173;Gambia;57028;22460;Handmade Fresh Chair;25454;35483;auxiliary Ohio;open system;Massachusetts digital firewall;61010;Berkshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;13318;uniform;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Generic Metal Hat Ball;Grocery;49623;90801;GIP;24257;Small leverage Tasty;Towels;47164;Small;../fake-data/blob/hipster.txt;62568;71441;55053;36164;40736;12537;52137;25361;89657;black Health;86166;New Jersey;89065;Credit Card Account;81016;e-markets copy Future;57212;Keyboard;26879;indigo;24685;help-desk Montenegro;58799;paradigms Auto Loan Account;8157;17732;microchip;../fake-data/blob/hipster.txt;Buckinghamshire salmon 24/7;false;multi-byte Tools;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-12T11:55:52;2019-12-12T06:47:34;66887;virtual;2019-12-12T05:07:49
9;Garden;Vermont;Prairie South Dakota invoice;programming Industrial monitor;20839;Fresh;Incredible Concrete Car Corporate;25619;cyan;13812;2461;tan bandwidth 24/7;91172;75804;generate;Som;orchid Assistant deposit;93454;framework optical;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;76585;Congolese Franc;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;functionalities Rustic Concrete Chicken Producer;New York lime;50445;36696;GYD;14722;olive portal;Integrated implement;26916;azure neural;../fake-data/blob/hipster.txt;90925;82521;37023;79505;75127;32373;89699;76519;84612;Tuna;95629;utilize impactful;6243;Bedfordshire Licensed Cloned;31694;online EXE;30246;SCSI PNG compress;14669;Bermudian Dollar (customarily known as Bermuda Dollar) Configuration Croatian Kuna;33161;Buckinghamshire;64572;Bedfordshire;11995;30604;Licensed Wooden Pizza;../fake-data/blob/hipster.txt;Cotton;true;neural-net;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-12T11:37:14;2019-12-12T21:51:40;75182;optical Response productivity;2019-12-12T06:54:44
10;Frozen pixel bypass;withdrawal Auto Loan Account deposit;Refined Metal Chips;fuchsia Fantastic;19453;transmitting;New Zealand maroon hard drive;51111;Investment Account;46089;79306;Assistant Assurance Security;40222;83885;Sudanese Pound East Caribbean Dollar;Fresh parallelism;Rubber;40777;FTP;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;4719;Tactics;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;THX Extended Euro;Configuration benchmark;77550;97758;JOD;58262;Supervisor;Cyprus Associate end-to-end;35719;e-business Central African Republic;../fake-data/blob/hipster.txt;44066;46259;87991;3326;50552;12188;50775;41586;13837;Coordinator;24997;Practical Metal Pizza Home Loan Account;41514;technologies neural;19571;transmitting payment platforms;45802;Automated;75211;Borders portal Money Market Account;99573;ROI Lead dynamic;5473;turquoise applications;21963;10540;Turkmenistan;../fake-data/blob/hipster.txt;compressing transmit;false;Soft Refined Metal Fish Integration;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2019-12-12T17:11:00;2019-12-12T10:34:58;11914;Bedfordshire;2019-12-12T19:08:39
