id;invoice_date;customer_purchase_order_number;is_credit_note;credit_note_reason;comments;delivery_instructions;internal_comments;total_dry_items;total_chiller_items;delivery_run;run_position;returned_delivery_data;confirmed_delivery_time;confirmed_received_by;payment_method;status;last_edited_by;last_edited_when
1;2019-12-12T17:55:52;Direct;true;pink Row;deposit navigating Uzbekistan Sum;whiteboard Gorgeous;standardization multi-byte;44641;22627;revolutionize Terrace Virginia;partnerships success Alabama;seamless Clothing;2019-12-12T18:05:05;Haiti Bedfordshire Table;CASH_ON_DELIVERY;ISSUED;24/365;2019-12-13T01:47:41
2;2019-12-12T08:30:53;Money Market Account Handcrafted;true;Guinea overriding;Designer Course;Keyboard Analyst Ameliorated;Borders Liaison evolve;3899;20886;Regional;Shirt Home;Granite Bedfordshire Fresh;2019-12-12T07:27:53;productize;CASH_ON_DELIVERY;CANCELLED;utilize;2019-12-12T18:15:49
3;2019-12-12T04:13:06;generate Liaison;false;Mali Cheese;transmitting;B2C compressing;mint green Sleek Plastic Chicken contextually-based;96641;83068;Guadeloupe Towels;Frozen platforms;indexing maroon;2019-12-12T08:44:20;circuit middleware local area network;CREDIT_CARD;CANCELLED;Investor array;2019-12-12T14:42:53
4;2019-12-12T16:30:46;Rustic Soft Cheese British Indian Ocean Territory (Chagos Archipelago) Licensed Metal Ball;false;Automotive Liaison Applications;Executive Buckinghamshire;Borders function Bedfordshire;salmon index;38654;60575;Central front-end;SCSI Architect content;Auto Loan Account New Hampshire mobile;2019-12-12T16:04:49;Executive;CASH_ON_DELIVERY;PAID;AGP;2019-12-12T16:45:23
5;2019-12-13T02:46:37;Orchestrator azure;true;connect;Kwanza bus Tugrik;withdrawal;transparent cross-platform;27875;73305;Uzbekistan;Industrial Manager Zimbabwe Dollar;Incredible Books Handmade Plastic Pizza;2019-12-12T12:19:35;Rustic Steel Cheese Accounts quantifying;CREDIT_CARD;ISSUED;utilize Incredible Plastic Towels Generic;2019-12-12T08:07:06
6;2019-12-12T13:40:01;Taka Industrial Sleek;true;Taka;Cambridgeshire;Reactive Cape Steel;whiteboard composite Synergistic;28100;40130;upward-trending Shirt transitional;leverage;overriding Nicaragua;2019-12-12T22:15:12;Kids grey systems;CASH_ON_DELIVERY;PAID;Kyat Multi-lateral;2019-12-12T10:22:52
7;2019-12-12T21:53:03;projection intermediate Nebraska;false;Forward;foreground Avon tangible;quantifying;Gorgeous Soft Shirt artificial intelligence Electronics;51112;78301;port;circuit Awesome Fresh Shoes;end-to-end;2019-12-12T04:56:43;Incredible Security copying;PAYPAL;ISSUED;Regional matrix;2019-12-12T04:22:42
8;2019-12-12T11:18:46;Metal;false;Maryland Web;feed Games Ball;SMTP Chips radical;Quality;70254;94398;attitude-oriented;bluetooth invoice;Fantastic;2019-12-12T15:33:01;syndicate ADP Locks;CASH_ON_DELIVERY;CANCELLED;calculating grey;2019-12-12T11:44:23
9;2019-12-12T06:38:31;circuit deposit;true;quantify Home enable;deposit monitor utilisation;Fantastic Metal Fish Extensions;Senior 5th generation;36778;66686;bypassing;Borders attitude-oriented calculating;Implemented;2019-12-12T05:39:02;backing up bandwidth;CASH_ON_DELIVERY;CANCELLED;Iceland;2019-12-12T11:15:18
10;2019-12-12T09:13:14;Springs;false;sky blue Frozen RAM;Movies navigate;leading-edge Ball synergies;encompassing;77314;73902;Future-proofed withdrawal;Toys monitoring;Virgin Islands, British IB;2019-12-12T11:18:08;Tonga;CASH_ON_DELIVERY;PAID;Upgradable Phased Berkshire;2019-12-12T09:34:39
