id;name;formal_name;iso_aplha_3_code;iso_numeric_code;country_type;latest_recorded_population;continent;region;subregion;border;valid_from;valid_to
1;program Auto Loan Account Refined;infomediaries;Fantastic Fresh Salad;70624;Sleek;8483;Planner;PCI SAS;Interactions;Pennsylvania dynamic bandwidth;2019-12-12T15:57:21;2019-12-12T08:51:51
2;Oklahoma communities;array supply-chains Advanced;Parkway Handmade Wooden Cheese;11752;payment synthesize Idaho;96217;grow asymmetric;Cyprus web services auxiliary;Designer Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;2019-12-13T01:42:19;2019-12-12T14:57:41
3;Savings Account;heuristic Orchestrator Naira;Legacy Unbranded Plastic Chips;95041;Regional;45565;Money Market Account;Mouse;Junctions one-to-one;analyzing holistic;2019-12-12T21:16:37;2019-12-12T03:50:49
4;Kwanza Falkland Islands (Malvinas);schemas;Pound Sterling Keyboard;91092;parsing;94979;hard drive Personal Loan Account;Unbranded SCSI;Rustic Steel Shirt drive;Ways Liaison engage;2019-12-12T09:31:33;2019-12-12T18:22:28
5;Assistant generating;Practical Steel Shirt Plastic Movies;SMS;81290;Producer Agent;55543;input Accounts;enhance Multi-channelled purple;Response;white SMTP;2019-12-12T09:20:52;2019-12-12T12:40:51
6;global;Baby;Kyrgyz Republic transmit;52016;SAS;55190;California PNG engage;Burg;transmit Credit Card Account;digital Corporate Checking Account;2019-12-12T03:59:05;2019-12-12T19:06:06
7;New York mesh;Unbranded array;Berkshire solid state;39654;Home Loan Account;86236;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept;Illinois robust;2019-12-12T14:37:17;2019-12-13T00:25:21
8;Rubber Shirt;Pakistan Rupee;Chicken;34566;Human Mission;66755;Soap teal Licensed Wooden Pants;e-business;Awesome;Kiribati;2019-12-12T18:58:19;2019-12-12T22:33:49
9;innovative Bedfordshire Lempira;Licensed;Credit Card Account Sleek;87357;Regional;6107;systemic;Handmade Savings Account Manager;cultivate Bedfordshire;navigate Kiribati;2019-12-12T10:13:24;2019-12-12T09:34:35
10;Games;Metal;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);10717;Inlet Hungary Configurable;26924;leverage Toys software;Incredible;Concrete National;Ranch impactful;2019-12-12T11:56:39;2019-12-12T15:33:11
